gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,65,1,0,94.55,6078.75,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
1,0,0,0,26,0,0,35.75,1022.5,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
0,0,1,0,68,1,0,90.2,6297.65,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
1,0,0,0,3,1,0,84.3,235.05,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,49,0,0,40.65,2070.75,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,1,0,64,1,0,97.0,6430.9,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
1,0,0,0,7,1,0,64.3,445.95,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
1,0,0,0,22,1,1,93.2,2157.3,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
1,0,1,1,31,1,0,54.35,1647.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,0,0,0,6,0,1,47.95,305.1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,1,1,1,1,19.2,19.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,6,1,1,79.05,434.5,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,12,1,1,79.8,1001.2,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,61,1,1,106.35,6751.35,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,0,0,43,1,1,19.65,779.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,1,0,0,30,0,1,40.3,1172.95,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,22,1,1,55.15,1193.05,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,0,1,1,52,1,0,23.05,1255.1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0,1,1,1,56.25,56.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,57,1,0,94.7,5468.95,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
0,0,1,0,72,0,1,54.2,3937.45,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False
0,0,0,0,42,1,1,103.8,4327.5,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,1,1,15,1,0,19.8,272.95,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
